Name,Description,Category_Name
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,TRANSPORTATION
,,WORK IN PROGRESS
,,UNKNOWN
,,VACANT/NOT IN USE
,,OTHER
single dwelling,"Examples: rowhouse, mansion, residence, rockshelter, homestead, cave",DOMESTIC
multiple dwelling,"Examples: duplex, apartment building, pueblo, rockshelter, cave",DOMESTIC
"Example: dairy, smokehouse, storage pit, storage shed, kitchen, garage, other dependencies",,DOMESTIC
hotel,"Examples: inn, hotel, motel, way station",DOMESTIC
institutional housing,"Examples: military quarters, staff housing, poor house, orphanage",DOMESTIC
camp,"Examples: hunting campsite, fishing camp, summer camp, forestry camp, seasonal residence, temporary, habitation site, tipi rings",DOMESTIC
village site,Examples: pueblo group,DOMESTIC
business,Examples: office building,COMMERCE/TRADE
professional,"Examples: architect's studio, engineering office, law office",COMMERCE/TRADE
organizational,"Examples: trade union, labor union, professional association",COMMERCE/TRADE
financial institution,"Examples: savings and loan association, bank, stock exchange",COMMERCE/TRADE
specialty store,"Examples: auto showroom, bakery, clothing store, blacksmith shop, hardware store",COMMERCE/TRADE
department store,"Examples: general store, department store, marketplace, trading post",COMMERCE/TRADE
restaurant,"Examples: cafe, bar, roadhouse, tavern",COMMERCE/TRADE
warehouse,"Examples: warehouse, commercial storage",COMMERCE/TRADE
trade (archeology),"Examples: cache, site with evidence of trade, storage pit",COMMERCE/TRADE
meeting hall,"Examples: grange; union hall; Pioneer hall; hall of other fraternal, patriotic, or political organization",SOCIAL
clubhouse,"Examples: facility of literary, social, or garden club",SOCIAL
civic,Examples: facility of volunteer or public service organizations such as the American Red Cross,SOCIAL
capitol,"Examples: statehouse, assembly building",GOVERNMENT
city hall,"Examples: city hall, town hall",GOVERNMENT
correctional facility,"Examples: police station, jail, prison",GOVERNMENT
fire station,Examples: firehouse,GOVERNMENT
government office,Examples: municipal building,GOVERNMENT
diplomatic building,"Examples: embassy, consulate",GOVERNMENT
custom house,Examples: custom house,GOVERNMENT
post office,Examples: post office,GOVERNMENT
public works,"Examples: electric generating plant, sewer system",GOVERNMENT
courthouse,"Examples: county courthouse, Federal courthouse",GOVERNMENT
schools,"Examples: schoolhouse, academy, secondary school, grammar school, trade or technical school",EDUCATION
college,"Examples: university, college, junior college",EDUCATION
library,Examples: library,EDUCATION
research facility,"Examples: laboratory, observatory, planetarium",EDUCATION
education-related,"Examples: college dormitory, housing at boarding schools",EDUCATION
religious facility,"Examples: church, temple, synagogue, cathedral, mission, temple, mound, sweathouse, kiva, dance court, shrine",RELIGION
ceremonial site,"Examples: astronomical observation post, intaglio, petroglyph site",RELIGION
church school,Examples: religious academy or schools,RELIGION
church-related residence,"Examples: parsonage, convent, rectory",RELIGION
cemetery,"Examples: burying ground, burial site, cemetery, ossuary",FUNERARY
graves/burials,"Examples: burial cache, burial mound, grave area, crematorium",FUNERARY
mortuary,"Examples: mortuary site, funeral home, cremation",FUNERARY
theater,"Examples: cinema, movie theater, playhouse",RECREATION AND CULTURE
auditorium,"Examples: hall, auditorium",RECREATION AND CULTURE
museum,"Examples: museum, art gallery, exhibition hall",RECREATION AND CULTURE
